 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Adeliana;Druide;21604;21663;21582;Armreifen der königlichen Erlösung;Roben des Schutzheiligen;Griff des alten Gottes;
Nerethil;Druide;21666;21604;21609;Sartura's Might;Bracelets of Royal Redemption;Regenerating Belt of Vek'nilash;
Snow;Druide;21602;21665;21672;Vollstreckungsarmschienen der Qiraji;Mantel der boshaften Rache;Handschuhe der Vollstreckung;
Buffin;Hexenmeister;22730;22730;22730;Augenstrangkordel;Augenstrangkordel;Augenstrangkordel;
Deltana;Hexenmeister;21585;21585;21585;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;
Twarves;Hexenmeister;21608;21608;21608;Amulett von Vek'nilash;Amulett von Vek'nilash;Amulett von Vek'nilash;
Wilfried;Hexenmeister;22730;22730;22730;Augenstrangkordel;Augenstrangkordel;Augenstrangkordel;
Zyandra;Hexenmeister;21221;21221;21221;Auge von C'Thun;Auge von C'Thun;Auge von C'Thun;
Fowen;Jäger;0;21670;20930;;Abzeichen der Schwarmwache;Vek'lors Diadem;
Palandur;Jäger;21677;21670;21702;Ring des Qirajizorns;Abzeichen der Schwarmwache;Amulett des faulen Zauberschutzes;
Ariovist;Krieger;18231;21618;21701;Ärmelloses T-Shirt;Handgelenksschutz des Schwarmbauentweihers;Umhang des geballten Hasses;
Evocíance;Krieger;21672;21674;21683;Handschuhe der Vollstreckung;Stulpen der festen Entschlossenheit;Mantel des Wüstenfeldzugs;
Gyatt;Krieger;21814;21650;21688;Brustplatte der Vernichtung;Uralter Qirajizerfetzer;Stiefel des gefallenen Helden;
Harime;Krieger;0;21650;21701;;Uralter Qirajizerfetzer;Umhang des geballten Hasses;
Ippok;Krieger;20875;21134;20874;Götze der Nacht;Dunkle Schneide des Irrsinns;Götze der Sonne;
Ozzi;Krieger;0;21814;21688;;Brustplatte der Vernichtung;Stiefel des gefallenen Helden;
Pepperoni;Krieger;21581;21581;21581;Stulpen der Vernichtung;Stulpen der Vernichtung;Stulpen der Vernichtung;
Perlenpaula;Krieger;20875;20875;20874;Götze der Nacht;Götze der Nacht;Götze der Sonne;
Postbotin;Krieger;21677;21604;21663;Ring des Qirajizorns;Armreifen der königlichen Erlösung;Roben des Schutzheiligen;
Reyna;Krieger;21221;21221;21221;Auge von C'Thun;Auge von C'Thun;Auge von C'Thun;
Skadi;Krieger;21677;21615;21667;Ring des Qirajizorns;Don Rigobertos verlorener Hut;Beinplatten des flammenden Lichts;
Thorgrimmson;Krieger;21837;23557;21615;Kriegshammer des Anubisath;Larve des großen Wurms;Don Rigobertos verlorener Hut;
Cleola;Magier;20875;20735;21321;Götze der Nacht;Formel: Umhang - Feingefühl;Roter Qirajiresonanzkristall;
Excelsion;Magier;8953;20926;20927;Frittierte Kochbanane;Vek'nilashs Reif;Ouros intakte Haut;
Lillianvoss;Magier;21585;21585;21585;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;
Magegnom;Magier;21597;21597;21597;Königliches Szepter von Vek'lor;Königliches Szepter von Vek'lor;Königliches Szepter von Vek'lor;
Babuna;Paladin;21620;21620;21620;Ring des Märtyrers;Ring des Märtyrers;Ring des Märtyrers;
Cromos;Paladin;21620;21604;21609;Ring des Märtyrers;Armreifen der königlichen Erlösung;Vek'nilashs Gürtel der Regeneration;
Juksi;Paladin;8953;21615;21663;Frittierte Kochbanane;Don Rigobertos verlorener Hut;Roben des Schutzheiligen;
Brasok;Priester;16253;21221;22731;Formel: Brust - Große Werte;Auge von C'Thun;Umhang des Verschlungenen;
Medinait;Priester;22731;22731;22731;Umhang des Verschlungenen;Umhang des Verschlungenen;Umhang des Verschlungenen;
Sinftw;Priester;5263;20735;20726;Fussel;Formel: Umhang - Feingefühl;Formel: Handschuhe - Bedrohung;
Solax;Priester;21583;21583;21583;Umhang der Klarsicht;Umhang der Klarsicht;Umhang der Klarsicht;
Terion;Priester;0;21615;21663;Fussel;Don Rigobertos verlorener Hut;Roben des Schutzheiligen;
Yunnchen;Priester;21839;21839;21839;Szepter des falschen Propheten;Szepter des falschen Propheten;Szepter des falschen Propheten;
Bloodwolf;Schurke;21672;21126;21701;Handschuhe der Vollstreckung;Stich des Todes;Umhang des geballten Hasses;
Emergencydoc;Schurke;23570;23570;23570;Jom Gabbar;Jom Gabbar;Jom Gabbar;
Kartell;Schurke;21586;21586;21586;Gürtel der endlosen Pein;Gürtel der endlosen Pein;Gürtel der endlosen Pein;
Ripley;Schurke;21602;21650;21126;Vollstreckungsarmschienen der Qiraji;Uralter Qirajizerfetzer;Stich des Todes;
Selindra;Schurke;21672;21701;21650;Handschuhe der Vollstreckung;Umhang des geballten Hasses;Uralter Qirajizerfetzer;
