 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Nerethil;Druide;19437;19381;19405;Stiefel des reinen Gedankens;Stiefel der Schattenflamme;Malfurions gesegnetes Bollwerk;
Octa;Druide;19381;19377;4500;Stiefel der Schattenflamme;Prestors Talisman der Verschwörung;Reiserucksack;
Snow;Druide;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Zinzino;Druide;19385;16898;16253;Energieerfüllte Gamaschen;Stiefel des Stormrage;Formel: Brust - Große Werte;
Ramoni;Hexenmeister;19379;19379;19379;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Vetron;Hexenmeister;19379;19379;19379;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Wilfried;Hexenmeister;18562;5760;13493;Elementiumerz;Eterniumschließkassette;Rezept: Großes Arkanelixier;
Gwinnith;Jäger;19377;16937;19368;Prestors Talisman der Verschwörung;Schiftung des Drachenjägers;Drachenodemhandkanone;
Loyx;Jäger;19364;19377;14510;Ashkandi, Großschwert der Bruderschaft;Prestors Talisman der Verschwörung;Muster: Bodenlose Tasche;
Mcp;Jäger;16942;19377;19350;Brustplatte des Drachenjägers;Prestors Talisman der Verschwörung;Herzensbrecher;
Mikau;Jäger;19361;19361;19361;Ashjre'thul, Armbrust der Pein;Ashjre'thul, Armbrust der Pein;Ashjre'thul, Armbrust der Pein;
Shadowsniper;Jäger;19377;16937;16936;Prestors Talisman der Verschwörung;Schiftung des Drachenjägers;Gürtel des Drachenjägers;
Âmbition;Krieger;19351;19351;19351;Maladath, Runenverzierte Klinge des schwarzen Drac;Maladath, Runenverzierte Klinge des schwarzen Drac;Maladath, Runenverzierte Klinge des schwarzen Drac;
Cardiothorac;Krieger;6948;19398;19003;Ruhestein;Feuerschwingens Umhang;Kopf von Nefarian;
Deadplated;Krieger;19387;19387;19387;Chromatische Stiefel;Chromatische Stiefel;Chromatische Stiefel;
Kraz;Krieger;0;19432;19394;Alteraclochkäse;Kreis der angewandten Macht;Drachenkrallenschulterstücke;
Ozzi;Krieger;19387;19387;19387;Chromatische Stiefel;Chromatische Stiefel;Chromatische Stiefel;
Skadi;Krieger;18562;19385;12717;Elementiumerz;Energieerfüllte Gamaschen;Pläne: Löwenherzhelm;
Thorgrimmson;Krieger;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Arie;Magier;19379;19379;19379;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Atanamir;Magier;0;19374;19374;;Armschienen der arkanen Präzision;Armschienen der arkanen Präzision;
Bøøstinatrix;Magier;19379;19379;19379;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Dantholomäos;Magier;19379;19379;19379;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Estorus;Magier;0;19339;16917;;Edelstein des Gedankensprungs;Mantel des Netherwinds;
Mála;Magier;0;19378;19397;;Umhang des Brutlords;Ring des Blackrock;
Babuna;Paladin;18562;17962;17965;Elementiumerz;Blauer Sack voller Edelsteine;Gelber Sack voller Edelsteine;
Eareldin;Paladin;0;19385;19437;;Energieerfüllte Gamaschen;Stiefel des reinen Gedankens;
Harryhaller;Paladin;19437;19385;19395;Stiefel des reinen Gedankens;Energieerfüllte Gamaschen;Edelstein der Verjüngung;
Helande;Paladin;19360;19395;16951;Lok'amir il Romathis;Edelstein der Verjüngung;Bindungen des Richturteils;
Palanthor;Paladin;19360;19349;19385;Lok'amir il Romathis;Elementiumverstärktes Bollwerk;Energieerfüllte Gamaschen;
Utus;Paladin;0;19437;19348;;Stiefel des reinen Gedankens;Roter Drachenschuppenbeschützer;
Brasok;Priester;18562;5760;5263;Elementiumerz;Eterniumschließkassette;Fussel;
Ferdock;Priester;0;16920;16926;;Handschützer der Erhabenheit;Bindungen der Erhabenheit;
Flunse;Priester;19437;19395;19400;Stiefel des reinen Gedankens;Edelstein der Verjüngung;Feuerschwingens Griff;
Kadyía;Priester;19403;19403;19403;Band der erzwungenen Konzentration;Band der erzwungenen Konzentration;Band der erzwungenen Konzentration;
Medinait;Priester;19379;19379;19379;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Xarfai;Priester;19382;19382;19382;Band aus reinem Elementium;Band aus reinem Elementium;Band aus reinem Elementium;
Xeray;Priester;20725;20725;19395;Nexuskristall;Nexuskristall;Edelstein der Verjüngung;
Bloodwolf;Schurke;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Salto;Schurke;18562;17964;4500;Elementiumerz;Grauer Sack voller Edelsteine;Reiserucksack;
Sieglînde;Schurke;19377;19351;16905;Prestors Talisman der Verschwörung;Maladath, Runenverzierte Klinge des schwarzen Drac;Blutfangbrustharnisch;
