 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Adeliana;Druide;18810;17010;17012;Wilde Wachstums-Schiftung;Feuerkern;Kernleder;
Nerethil;Druide;0;18810;0;;Wilde Wachstums-Schiftung;;
Deltana;Hexenmeister;16253;18260;14510;Formel: Brust - Große Werte;Formel: Waffe - Heilkraft;Muster: Bodenlose Tasche;
Vetron;Hexenmeister;16930;19145;18820;Gamaschen der Nemesis;Robe der flüchtigen Macht;Talisman der ephemeren Macht;
Wilfried;Hexenmeister;18257;17010;17011;Rezept: Erheblicher Verjüngungstrank;Feuerkern;Lavakern;
Brug;Jäger;16845;17102;16938;Brustplatte des Riesenjägers;Umhang der verhüllten Nebel;Beinschützer des Drachenjägers;
Elunê;Jäger;16938;18290;14510;Beinschützer des Drachenjägers;Bauplan: Biznicks 247x128 treffsicheres Zielfernro;Muster: Bodenlose Tasche;
Locher;Jäger;16938;16846;16849;Beinschützer des Drachenjägers;Helm des Riesenjägers;Stiefel des Riesenjägers;
Âmbition;Krieger;18564;18810;16253;Fesseln des Windsuchers;Wilde Wachstums-Schiftung;Formel: Brust - Große Werte;
Ariovist;Krieger;18832;18821;18264;Unbarmherzige Klinge;Ring des rasanten Schlags;Pläne: Elementarwetzstein;
Bergomann;Krieger;17203;17012;17012;Sulfuronblock;Kernleder;Kernleder;
Harime;Krieger;19137;18821;13493;Gurt des Ansturms;Ring des rasanten Schlags;Rezept: Großes Arkanelixier;
Perlenpaula;Krieger;17203;11382;17010;Sulfuronblock;Blut des Berges;Feuerkern;
Ragnard;Krieger;17203;18292;16861;Sulfuronblock;Bauplan: Kernscharfschützengewehr;Armschienen der Macht;
Skadi;Krieger;17010;18810;18821;Feuerkern;Wilde Wachstums-Schiftung;Ring des rasanten Schlags;
Allgnomag;Magier;16796;19147;16915;Gamaschen des Arkanisten;Ring der Zauberkraft;Hose des Netherwinds;
Dahli;Magier;18814;16828;16830;Halsschmuck des Feuerlords;Gürtel des Cenarius;Armschienen des Cenarius;
Estorus;Magier;17103;16795;18842;Magierklinge des Azurlieds;Krone des Arkanisten;Stab der Dominanz;
Kleist;Magier;18842;16798;17077;Stab der Dominanz;Roben des Arkanisten;Purpurroter Schocker;
Mála;Magier;18814;16799;19136;Halsschmuck des Feuerlords;Bindungen des Arkanisten;Mana entfachende Kordel;
Stupsi;Magier;18820;16795;16800;Talisman der ephemeren Macht;Krone des Arkanisten;Stiefel des Arkanisten;
Ulfric;Magier;18814;16798;18842;Halsschmuck des Feuerlords;Roben des Arkanisten;Stab der Dominanz;
Babuna;Paladin;19140;18875;18822;Band der Ausbrennung;Salamanderschuppengamaschen;Scharfkantige Obsidianklinge;
Evosancta;Paladin;17204;17204;17204;Auge von Sulfuras;Auge von Sulfuras;Auge von Sulfuras;
Poel;Paladin;17203;17074;16864;Sulfuronblock;Schattenschlag;Gürtel der Macht;
Brasok;Priester;18259;18259;18259;Formel: Waffe - Zauberkraft;Formel: Waffe - Zauberkraft;Formel: Waffe - Zauberkraft;
Jandura;Priester;19140;19140;19140;Band der Ausbrennung;Band der Ausbrennung;Band der Ausbrennung;
Kadyía;Priester;19147;16814;16827;Ring der Zauberkraft;Hose der Prophezeiung;Gürtel des Nachtmeuchlers;
Medinait;Priester;18814;18814;18814;Halsschmuck des Feuerlords;Halsschmuck des Feuerlords;Halsschmuck des Feuerlords;
Panador;Priester;16922;16819;18257;Gamaschen der Erhabenheit;Unterarmschienen der Prophezeiung;Rezept: Erheblicher Verjüngungstrank;
Sinftw;Priester;18260;14510;18265;Formel: Waffe - Heilkraft;Muster: Bodenlose Tasche;Muster: Flimmerkernwickeltücher;
Solax;Priester;17203;16922;17011;Sulfuronblock;Gamaschen der Erhabenheit;Lavakern;
Terion;Priester;16922;18646;19145;Gamaschen der Erhabenheit;Das Auge der Offenbarung;Robe der flüchtigen Macht;
Vonmir;Priester;17010;17011;17010;Feuerkern;Lavakern;Feuerkern;
Bloodwolf;Schurke;16827;16802;16851;Gürtel des Nachtmeuchlers;Gürtel des Arkanisten;Gürtel des Riesenjägers;
Emegencydoc;Schurke;17063;17063;17063;Band von Accuria;Band von Accuria;Band von Accuria;
Jôncenà;Schurke;17063;17063;17063;Band von Accuria;Band von Accuria;Band von Accuria;
Salto;Schurke;18821;17012;17011;Ring des rasanten Schlags;Kernleder;Lavakern;
Thrillseeker;Schurke;18832;17069;16909;Unbarmherzige Klinge;Schläger-Mal;Blutfanghose;
Velis;Schurke;18832;18821;16821;Unbarmherzige Klinge;Ring des rasanten Schlags;Kopfschutz des Nachtmeuchlers;
