 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Snow;Druide;5760;23023;23045;Eterniumschließkassette;Sadistenhalsband;Schleier der Herrschaft;
Deltana;Hexenmeister;22807;22351;23057;Gespensterklinge;Entweihte Robe;Edelstein der gefangenen Unschuld;
Ramoni;Hexenmeister;23049;23070;23046;Saphirons linkes Auge;Gamaschen des Widerspruchs;Die gebundene Essenz Saphirons;
Twarves;Hexenmeister;23046;23049;23057;Die gebundene Essenz Saphirons;Saphirons linkes Auge;Edelstein der gefangenen Unschuld;
Wilfried;Hexenmeister;23049;22820;22520;Saphirons linkes Auge;Zauberstab der Heimsuchung;Kel'Thuzads Phylakterium;
Ellayana;Jäger;5760;23053;0;Eterniumschließkassette;Stormrages Talisman des Zorns;;
Shadowsniper;Jäger;22812;22804;23548;Nerubischer Sklavenjäger;Maexxnas Fangzahn;Macht der Geißel;
Zotgrim;Jäger;22802;22802;22802;Königsmörder;Königsmörder;Königsmörder;
Âmbition;Krieger;22812;23056;23219;Nerubischer Sklavenjäger;Hammer des wirbelnden Nethers;Gurt des Mentors;
Bergomann;Krieger;22812;23056;22942;Nerubischer Sklavenjäger;Hammer des wirbelnden Nethers;Umarmung der Witwe;
Jóhn;Krieger;23041;23045;23043;Wappen des Schlächters;Schleier der Herrschaft;Das Gesicht des Todes;
Kiroco;Krieger;22806;22354;22358;Reue der Witwe;Entweihte Schulterstücke;Entweihte Sabatons;
Kòppi;Krieger;23041;22808;23221;Wappen des Schlächters;Der Bestrafer;Verlegter Servoarm;
Pepperoni;Krieger;23041;23219;23038;Wappen des Schlächters;Gurt des Mentors;Band der unnatürlichen Kräfte;
Perlenpaula;Krieger;23577;23577;23577;Die zehrende Kälte;Die zehrende Kälte;Die zehrende Kälte;
Ragnard;Krieger;22812;23548;22798;Nerubischer Sklavenjäger;Macht der Geißel;Macht von Menethil;
Rydøn;Krieger;5263;22806;22808;Fussel;Reue der Witwe;Der Bestrafer;
Saturo;Krieger;22954;22954;22954;Kuss der Spinne;Kuss der Spinne;Kuss der Spinne;
Skadi;Krieger;23014;23045;23068;Iblis, Klinge des gefallenen Engels;Schleier der Herrschaft;Beinplatten des Blutbads;
Thorgrimmson;Krieger;23000;23038;22936;Gepanzerter Monstrositätenbrustkorb;Band der unnatürlichen Kräfte;Handgelenksschutz der Rache;
Zquare;Krieger;22812;22939;22815;Nerubischer Sklavenjäger;Band der unerhörten Gebete;Wundspalter;
Arie;Magier;22820;22799;23545;Zauberstab der Heimsuchung;Seelensucher;Stärke der Geißel;
Icecold;Magier;23049;23046;22821;Saphirons linkes Auge;Die gebundene Essenz Saphirons;Schicksalszeig;
Jamera;Magier;23046;23031;23025;Die gebundene Essenz Saphirons;Band des Unvermeidlichen;Siegel der Verdammten;
Kera;Magier;23050;23050;23050;Umhang der Nekropole;Umhang der Nekropole;Umhang der Nekropole;
Anouk;Paladin;22691;22691;22691;Verderbter Aschenbringer;Verderbter Aschenbringer;Verderbter Aschenbringer;
Babuna;Paladin;23047;23047;23047;Auge des Todes;Auge des Todes;Auge des Todes;
Eloriana;Paladin;0;23056;23036;;Hammer des wirbelnden Nethers;Halskette der Leichenschau;
Bimm;Priester;23056;23048;23547;Hammer des wirbelnden Nethers;Saphirons rechtes Auge;Unverwüstlichkeit der Geißel;
Brasok;Priester;5760;23070;22937;Eterniumschließkassette;Gamaschen des Widerspruchs;Edelstein von Nerubis;
Kerwin;Priester;22820;23057;23031;Zauberstab der Heimsuchung;Edelstein der gefangenen Unschuld;Band des Unvermeidlichen;
Kohlhaas;Priester;5760;22941;22994;Eterniumschließkassette;Polarschulterpolster;Faulige Hand der Macht;
Liaha;Priester;5760;16253;22988;Eterniumschließkassette;Formel: Brust - Große Werte;Das Ende aller Träume;
Patriona;Priester;23036;22820;23025;Halskette der Leichenschau;Zauberstab der Heimsuchung;Siegel der Verdammten;
Sinftw;Priester;5760;23046;22800;Eterniumschließkassette;Die gebundene Essenz Saphirons;Schwefelstab;
Solax;Priester;23048;22960;22368;Saphirons rechtes Auge;Umhang der Wundnaht;Entweihte Schulterpolster;
Emergencydoc;Schurke;6948;23548;22520;Ruhestein;Macht der Geißel;Kel'Thuzads Phylakterium;
Krüppler;Schurke;23038;23053;23045;Band der unnatürlichen Kräfte;Stormrages Talisman des Zorns;Schleier der Herrschaft;
Relentless;Schurke;23054;23054;23054;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;
Thrillseeker;Schurke;23014;22812;22520;Iblis, Klinge des gefallenen Engels;Nerubischer Sklavenjäger;Kel'Thuzads Phylakterium;
